,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
4304,26,182.88,88.45044,57,2,0.6,1.3,-1.1,0.009,0.071,0.164,0.367,0.24
4305,22,200.66,95.25432,39,1.8,0.8,0.3,-6.4,0.026,0.073,0.148,0.386,0.057
4306,29,205.74,111.13004,82,12.2,5.1,2,3.3,0.056,0.164,0.23,0.524,0.129
4307,23,187.96,81.64656,16,2.2,0.4,0.3,4.9,0,0.069,0.206,0.549,0.122
4308,31,190.5,90.7184,75,9.2,2.2,4.3,4,0.019,0.077,0.185,0.52,0.279
4309,27,190.5,83.91452,12,4.3,1.4,0.8,10.7,0.011,0.144,0.22,0.589,0.13
4310,34,187.96,82.553744,3,0.7,0.3,0.7,-0.7,0,0.077,0.179,0.143,0.182
4311,31,187.96,88.45044,45,3.3,1.4,2.2,-3.3,0.018,0.106,0.16,0.465,0.277
4312,30,205.74,106.59412,82,20.5,9.3,1.9,2.5,0.057,0.217,0.236,0.518,0.083
4313,20,210.82,111.13004,68,3.8,4.2,0.4,1.3,0.14,0.187,0.112,0.595,0.038
4314,38,185.42,81.64656,62,2.1,1.3,1.4,1.7,0.036,0.119,0.151,0.444,0.216
4315,35,180.34,77.11064,40,2.6,0.5,1.4,7.5,0.007,0.068,0.17,0.474,0.247
4316,23,213.36,127.00576,67,5.7,3.8,0.2,-2,0.094,0.186,0.203,0.519,0.026
4317,29,203.2,98.429464,67,7.2,4.8,1.3,6.3,0.021,0.169,0.116,0.572,0.066
4318,25,203.2,99.79024,75,9.3,3.4,0.8,6.7,0.028,0.131,0.17,0.551,0.044
